GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G08006,805844,590096,75238,5738,49190,1749,49288,34545,643701,162143,534780,92707,16408,30983,79322,46161,145966,61098,12128,7389,28352,38066,622042,80264,622545,176844
G08007,784728,686834,13962,8349,25694,477,22891,26521,556329,228399,534199,109170,24535,36267,82082,43237,114362,48287,8185,6383,33454,43786,573161,69173,623295,185141
G09001,713076,497434,108137,2110,37156,165,43939,24135,593812,119264,497753,117916,17092,25630,58615,41971,105070,58396,14049,6723,33946,42770,529523,72552,582565,194762
G09002,705024,605585,28917,2692,23438,117,18067,26208,646088,58936,488407,122140,19567,31603,61811,43781,97776,56097,10646,8007,26493,29650,529369,76947,586526,196986
G09003,715728,522893,100033,1202,31371,235,37322,22672,604658,111070,496234,135583,15923,25633,58659,36883,95072,57442,15423,11727,37153,40675,518385,69186,592434,198865
G09004,735915,537415,89604,1917,40392,294,44794,21499,592558,143357,497179,91261,9822,19294,51263,29124,135643,81271,21276,8554,30830,34408,568001,95749,584174,190534
G09005,711761,571553,51571,1777,26460,362,41122,18916,582597,129164,499135,124258,16957,27462,56297,39110,105363,56545,12986,7161,33913,38611,533351,72591,578892,198601
G090ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
G10000,949495,654905,209892,3455,36723,477,18034,26009,863180,86315,659979,187042,21515,39834,85352,51522,120794,62275,12399,11764,50291,59507,676954,65627,769793,287170
G11098,684498,280469,321317,1993,26718,340,33518,20143,609722,74776,486981,70723,12849,16914,45704,14637,118817,100571,40220,20741,59892,49605,460759,82604,573275,171535
G12001,759701,583243,101668,3962,19810,1296,15091,34631,710847,48854,520956,114767,24788,38547,85338,64634,94410,37715,7697,5240,39832,51487,501297,55779,614438,243116
G12002,719213,585563,92588,3093,12373,822,6574,18200,672613,46600,508358,130827,37507,38731,72721,44021,73035,30455,8837,7077,46562,59991,425262,48717,593011,279717
G12003,728979,552214,117229,1751,25080,365,7994,24346,659179,69800,484098,121840,28053,32923,67152,48260,76610,34209,10619,9640,64157,63093,431949,49527,596078,259189
G12004,780575,636335,72063,1899,35627,265,10554,23832,716710,63865,551001,109628,19352,39391,74149,53908,140182,55740,14961,7143,31534,38168,588959,70059,634778,219025
G12005,729038,330627,345260,2195,19753,681,10661,19861,669682,59356,465888,125382,27731,34836,71233,44152,63119,22745,4230,3952,82807,81493,368575,41255,579360,229853
G12006,753500,625859,79139,2801,13490,210,17156,14845,660396,93104,558943,152622,28005,47254,83666,59503,85819,33607,7985,5490,48470,57865,478141,48810,635014,304620
G12007,757809,583054,82514,1475,34637,409,30884,24836,568705,189104,516515,94026,18005,27537,71570,68178,132512,48771,13078,7110,46272,56063,503883,60137,625815,222597
G12008,742230,619307,72452,2450,16408,550,10025,21038,663404,78826,553073,133234,26575,41193,79842,62808,99038,46361,8680,6545,37007,55206,497947,53969,623623,291647
G12009,837026,622071,110828,2437,24447,416,46595,30232,496084,340942,564270,146782,26094,34572,87715,56983,88524,33122,7219,4437,56764,75422,492151,51094,661879,265451
G12010,808969,456094,227480,2040,41904,906,54670,25875,585328,223641,541227,120220,20225,30602,75375,58955,113611,38564,10092,4667,51286,79004,484392,52843,635325,202517
G12011,754649,661728,54753,2675,9575,169,9294,16455,675816,78833,593195,177883,35737,50938,84925,54776,77768,34297,6328,3678,43552,56757,474864,46297,649631,384177
G12012,757719,668709,37197,2493,19963,510,9866,18981,662121,95598,560434,146729,25614,40900,80360,59396,101696,39627,7830,5233,39613,49530,512407,52568,631219,288954
G12013,723658,571708,90403,2088,25673,785,10535,22466,652137,71521,550581,132875,25877,41950,79773,53829,105964,39099,12270,6112,50484,51493,469294,50319,615625,253749
G12014,763832,529639,139995,2748,34732,381,27732,28605,533715,230117,520121,117151,19295,25802,65528,46392,116367,47100,14792,7943,58267,70804,473810,53306,618138,208544
G12015,777638,578281,115866,2514,23298,606,33073,24000,603581,174057,530275,141503,26264,36157,76934,51017,90191,33024,6258,4381,50229,61611,488326,54333,618538,239045
G12016,804662,676629,66711,1974,17169,563,24425,17191,663943,140719,595087,144436,23821,41055,81373,53210,115315,54400,13279,8926,39229,53161,561162,59440,666538,300690
G12017,756549,654669,56342,2427,10170,427,17986,14528,641892,114657,577630,178374,30191,43243,77999,48524,79011,32785,7749,4790,44121,61519,471302,48734,643095,348562
G12018,757228,607915,97915,2366,17057,531,15510,15934,635358,121870,564590,130950,23771,39359,79876,56285,111399,44177,13664,6198,37461,49173,527897,58721,633754,276221
G12019,797066,685044,63282,1387,12731,418,21578,12626,635566,161500,608883,150835,20499,39086,80777,53022,121297,51266,17123,8502,45803,54700,537773,57611,677243,329950
G12020,778060,298590,416212,1392,22121,300,17817,21628,587042,191018,516162,144225,20544,30313,72390,47879,70479,27917,5536,4422,60581,88841,417761,46252,610605,213995
G12021,762765,585029,120670,1632,20271,368,19473,15322,581481,181284,563222,123990,14615,32216,77847,49650,122595,49906,16447,8063,38532,53673,515427,58430,636528,264295
G12022,750149,569112,112522,1696,24053,310,20321,22135,588087,162062,557315,121262,16247,29149,76159,48865,135497,52799,21197,8073,38991,44557,528786,62550,627438,225829
G12023,756127,558493,108235,2363,31626,705,30302,24403,468789,287338,536587,108456,15349,31606,72857,55661,128160,55041,20192,7788,41816,40758,547182,64827,615966,217056
G12024,750906,319550,370739,1321,9938,275,35178,13905,457182,293724,512110,144965,17366,21688,69322,45548,68462,23813,7779,3114,72705,97823,366111,39943,602776,227030
G12025,763720,685315,36042,1803,8437,97,22759,9267,186419,577301,548250,148253,15971,24766,55567,50951,88142,30207,10639,4386,46771,86583,434562,49970,629262,246852
G12026,774375,630858,89443,1967,14064,285,24212,13546,228570,545805,528828,132863,16749,26855,65646,53935,96730,28401,9476,5223,46947,76179,462459,56696,624217,230897
G12027,751996,653462,38828,1169,14761,237,29887,13652,208772,543224,559128,122869,10486,20353,56357,48288,125702,56696,26313,11575,39758,69346,479779,55451,632415,226932
G13001,731698,460511,217006,2732,13498,1037,14548,22366,682238,49460,482422,117268,27654,33459,81879,40120,75659,33455,8490,5459,55292,65535,436747,51484,575866,220048
G13002,675246,287040,349622,1481,8135,711,12736,15521,640923,34323,440762,120057,28523,27113,73240,34389,47714,21597,5436,3706,77699,88868,323136,38051,531908,236137
G13003,728046,504469,176940,2377,14697,486,10412,18665,686766,41280,482014,119766,27911,31473,76420,36904,81482,32271,8354,5437,47534,55113,480082,57657,572990,223309
G13004,748744,214388,449004,2087,38192,676,25856,18541,677698,71046,489546,109518,16600,25472,82337,42943,93972,41333,8320,8506,50478,75837,460446,54824,578412,190134
G13005,759756,244388,444838,2180,31834,288,16854,19374,710989,48767,506031,100447,16566,19829,71801,28713,119206,60679,20334,10222,71627,79136,420999,51005,617438,209536
G13006,744905,513884,100129,6759,86322,217,16196,21398,649245,95660,511610,58973,6451,16224,55695,29444,191745,90333,19217,11226,27202,31755,598532,90875,583350,169633
G13007,793740,444541,159394,2964,108584,232,55557,22468,640438,153302,508246,91972,13373,23799,68649,44316,137325,55767,9846,6833,32980,44058,573068,74060,601993,186081
G13008,704814,446448,218319,1877,10266,184,13040,14680,659873,44941,465200,130407,26946,26893,68497,39916,58002,29379,7858,4434,69932,75459,391302,45339,555299,237839
G13009,735832,642151,49097,2306,9008,454,18321,14495,640990,94842,501207,126522,31611,33555,68632,37273,70209,30197,9222,4535,42454,62866,460322,53505,587475,246273
G13010,740458,506372,188872,925,15442,384,12204,16259,698835,41623,476321,129481,27314,28441,66369,35690,72176,33325,9472,8660,58972,60886,461857,54034,587766,240099
G13011,756192,556906,126469,2522,26307,511,24199,19278,672652,83540,503585,89518,17329,28489,77619,35463,135831,51442,13777,7033,33207,40307,554617,73492,597063,186363
G13012,718746,421482,251632,1793,12655,651,14994,15539,675056,43690,466360,127303,28915,26809,70906,38555,59203,25141,8453,5548,71752,72760,388690,44547,566156,242353
G13013,749389,233635,444434,746,19867,91,31503,19113,664926,84463,481930,121382,18081,27331,81671,39510,87305,39307,7463,4990,47541,62636,479271,57839,570521,186516
G13014,709918,603761,63544,2735,7694,173,17260,14751,628392,81526,471313,123670,36574,30356,71283,34908,53118,20640,6545,2927,40736,65092,427334,50353,555983,216767
G15001,710707,127407,14910,810,353472,55881,6235,151992,648952,61755,504805,115277,10242,28066,71673,55926,117645,39901,13390,7850,27700,30769,550180,81842,582049,196586
G15002,711322,228205,11356,2177,183370,87393,9057,189764,625115,86207,483562,136003,12111,27676,80441,49260,94408,32220,9278,6304,38882,40165,515278,74621,565396,201332
G16001,869560,787631,4591,12664,11747,1494,26610,24823,775845,93715,575061,132329,35583,52921,102562,53387,99424,32145,7199,6091,45566,65138,562985,53779,675845,267215
G16002,818249,739631,6945,10126,12011,1267,26500,21769,702891,115358,514205,110312,23636,40987,90643,50946,99224,33555,8576,7055,47433,70745,504958,52323,622692,220892
G17001,708118,293374,360683,1369,13588,102,24753,14249,636014,72104,475842,112772,16371,30355,89748,40121,80030,40939,7580,6923,62390,63148,453022,52946,565651,214993
G17002,703782,257962,401384,1175,5330,59,25048,12824,606432,97350,464121,119500,17820,32372,94455,38748,64953,31701,4553,3690,68744,65699,413942,49393,556117,213483
G17003,717897,543349,34547,2324,31723,109,90331,15514,487558,230339,481999,129721,15707,29321,67846,37211,84558,37177,7461,4362,28941,46532,504244,66819,563979,200257
G17004,699621,406719,29049,3583,25629,243,215281,19117,212737,486884,451392,107403,15768,16833,53585,25789,73422,26797,5501,3070,45661,79310,388048,52265,540932,171501
G17005,740075,599430,21468,1836,54227,184,38127,24803,594739,145336,535676,82883,9991,21703,56817,28838,176409,80468,26071,9042,28888,35433,579038,82907,614637,164680
G17006,727847,601767,19551,1199,69822,128,17928,17452,653828,74019,499692,74601,8419,29745,61965,37499,157317,78347,16781,8833,18550,20251,621106,100088,578128,181059
G17007,724652,262626,341376,1228,54043,291,48422,16666,611393,113259,499780,95786,13429,20630,64965,26719,111226,61795,24811,11237,78489,78388,412188,56880,593184,210637
G17008,715095,473949,33258,3975,95826,878,86473,20736,510217,204878,485189,105751,12578,30872,67957,36830,108904,43644,6820,3656,27296,37326,523518,70952,564567,163698
G17009,723507,520117,65627,1511,93736,355,19209,22952,641096,82411,516203,76329,10755,21631,57855,29126,158061,83373,22670,12911,37769,44485,527134,72003,591781,210963
G17010,712819,521667,47534,1948,77288,458,45274,18650,550717,162102,471606,84817,14236,25568,56251,28225,121675,62500,18955,9357,27859,34388,531316,81290,561226,179469
G17011,722593,475032,81361,2220,56148,235,82682,24915,525396,197197,467513,92371,15968,30420,64841,36423,102865,48665,7361,5819,29250,39633,536310,75202,558717,167802
G17012,697270,545611,118002,1370,8494,128,6782,16883,673142,24128,479135,122384,27641,41273,77700,50610,64854,34295,5776,4378,53698,64619,432789,49322,559384,227814
G17013,704851,570139,80703,1263,27933,297,4747,19769,680311,24540,456162,117828,21371,35104,66351,39988,81595,39373,8148,9422,66344,55026,433338,51647,580462,224975
G17014,735045,640824,23775,942,32311,187,20966,16040,643429,91616,484174,98458,12051,35004,68740,41365,124757,57220,9081,6562,18794,23462,613902,93276,568937,171860
G17015,696632,645509,30325,1331,5092,327,3509,10539,676766,19866,481963,138554,28272,41961,70287,57432,62625,25776,3547,2698,40072,54116,451581,52661,558388,223681
G17016,695502,626037,26911,1418,10733,232,15534,14637,628907,66595,474316,135341,24653,43127,72657,46785,67062,30183,5772,3444,36389,44060,484562,60203,559610,202958
G17017,688356,562925,81226,1766,9438,161,13320,19520,625863,62493,469650,133759,27833,43483,72923,44920,59429,23351,4630,2415,54600,59977,413171,48304,550762,215332
G17018,707835,642148,27345,1406,19461,208,4120,13147,688110,19725,487930,127429,18985,39455,66008,45993,102091,42094,8624,6299,29975,36041,518877,64372,568212,209515
G170ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
G18001,715348,498524,133966,1806,9419,287,49119,22227,604931,110417,484797,148479,22364,33604,73274,42726,73560,29248,6165,3231,50986,54989,478180,56590,569734,222780
G18002,722805,624080,49860,2640,9397,455,16694,19679,653648,69157,474765,141199,27960,34062,62707,36982,65141,28087,5804,4697,45884,53257,457285,52651,564102,206465
G18003,739773,649139,44350,1315,16055,204,9176,19534,694621,45152,482122,140038,23391,33751,66616,48214,73095,28627,5796,3341,36996,53210,490717,54265,570805,195362
G18004,750717,667234,29478,1803,23077,196,14602,14327,705744,44973,483852,140548,24354,31614,69935,42249,80438,34234,5553,6931,44006,47254,503067,57622,599123,216312
G18005,767053,646369,63300,1115,27096,226,7821,21126,733005,34048,518507,101145,16226,27533,66993,37484,147823,61217,16996,9440,29721,39742,581075,69954,601451,192367
